customer_id,name,email,country
CUST1000,Allison Hill,clam@gmail.com,Korea
CUST1001,Noah Rhodes,calebsmith@hall.com,Eritrea
CUST1002,Angie Henderson,whiteheadmichele@palmer.info,Sao Tome and Principe
CUST1003,Daniel Wagner,jenniferkhan@kennedy.com,Egypt
CUST1004,Cristian Santos,hopkinsmichael@owens-daniel.com,Tajikistan
CUST1005,Connie Lawrence,zchandler@wright.net,Northern Mariana Islands
CUST1006,Abigail Shaffer,robertramirez@gmail.com,Falkland Islands (Malvinas)
CUST1007,Gina Moore,jmorton@williams.com,Seychelles
CUST1008,Gabrielle Davis,gabrieltucker@hancock.com,Slovakia (Slovak Republic)
CUST1009,Ryan Munoz,gallowayjoseph@yahoo.com,Maldives
CUST1010,Monica Herrera,uhorton@hotmail.com,Libyan Arab Jamahiriya
CUST1011,Jamie Arnold,jamesrobinson@gmail.com,Nigeria
CUST1012,Lisa Hensley,brian97@calhoun.net,Dominican Republic
CUST1013,Michele Williams,caseyjones@powell.com,Falkland Islands (Malvinas)
CUST1014,Dylan Miller,barnesbrandy@stewart.com,Kazakhstan
CUST1015,Brian Ramirez,randy47@hickman-walls.com,Belarus
CUST1016,Holly Wood,jonesjason@yahoo.com,Rwanda
CUST1017,Derek Zuniga,nicole35@moore-bass.com,France
CUST1018,Lisa Jackson,sarah12@wilson-rodriguez.net,Dominica
CUST1019,Carla Gray,juan35@watts.net,Faroe Islands
CUST1020,Margaret Hawkins DDS,rebecca01@hotmail.com,Grenada
CUST1021,Patty Perez,bradley52@hotmail.com,Ghana
CUST1022,Ethan Adams,joycearnold@yahoo.com,Uganda
CUST1023,Tommy Walter,jonesnicole@gardner.org,Mauritania
CUST1024,Matthew Foster,tanderson@nolan-flynn.com,Belgium
CUST1025,Judy Baker,evelynestrada@yahoo.com,Burundi
CUST1026,Justin Baker,sarayoung@gmail.com,Canada
CUST1027,Stephanie Ross,vjohnson@patton-jenkins.com,Djibouti
CUST1028,Zachary Hicks,kristinrodriguez@gmail.com,Hungary
CUST1029,Anthony Rodriguez,jamessellers@yahoo.com,Puerto Rico
CUST1030,Rebecca Henderson,jeffreykeller@yahoo.com,Cape Verde
CUST1031,James Ferrell,michelle45@hotmail.com,Romania
CUST1032,Tricia Valencia,sheila14@gmail.com,Croatia
CUST1033,Nathan Maldonado,rodriguezryan@hotmail.com,Bahrain
CUST1034,Debra Davidson,gobrien@gmail.com,Israel
CUST1035,Jeffrey Chavez,jonathanfletcher@gmail.com,Ireland
CUST1036,Sherri Baker,ryan59@alvarado-martinez.com,Greenland
CUST1037,Cassandra Gaines,snguyen@yahoo.com,Mauritania
CUST1038,Elizabeth Fowler,robertbentley@adkins.biz,Lao People's Democratic Republic
CUST1039,Brittany Farmer,justin69@pena.com,Israel
CUST1040,Paula Moreno,donnacampbell@hotmail.com,Bahamas
CUST1041,Fred Smith,cardenaskaren@hotmail.com,Costa Rica
CUST1042,Sherry Decker,lindsayhernandez@gmail.com,Syrian Arab Republic
CUST1043,Anthony Humphrey,xcarr@gibson.org,Italy
CUST1044,Angelica Tucker,psnyder@douglas.com,Iceland
CUST1045,Philip Cannon,gregoryrubio@hotmail.com,United Kingdom
CUST1046,John Pierce,grantsamantha@gmail.com,Sierra Leone
CUST1047,Shane Henderson,lauriecontreras@hotmail.com,Mozambique
CUST1048,Joshua Blair,usalazar@hotmail.com,Yemen
CUST1049,Eric Carney,vmerritt@yahoo.com,Qatar
